Epi Week # (date),Total NAT positive tests,Total Samples Screened for VoC mutations (%),Total presumptive VoCs (%),Total sequenceda,B.1.1.7 (UK) (%),B.1.351 (SA) (%),P.1 (BR) (%),Total,V1,V2,Week,Date,share_voc,ratio_voc,Date2,start_date,end_date
1 (Jan 03-Jan 09),3878,19,0,330,0,0,0,0,NA,NA,1,2021-01-07,0,0,2021-01-10T00:00:00Z,2021-01-03,2021-01-10
2 (Jan 10-Jan 16),3507,234,2,475,1,2,0,3,NA,NA,2,2021-01-14,0.00854700854700855,0.00862068965517242,2021-01-17T00:00:00Z,2021-01-10,2021-01-17
3 (Jan 17-Jan 23),3488,870,9,214,4,7,0,11,NA,NA,3,2021-01-21,0.0103448275862069,0.0104529616724739,2021-01-24T00:00:00Z,2021-01-17,2021-01-24
4 (Jan 24-Jan 30),3337,796,8,569,8,4,0,12,NA,NA,4,2021-01-28,0.0100502512562814,0.0101522842639594,2021-01-31T00:00:00Z,2021-01-24,2021-01-31
5 (Jan 31-Feb 06),3134,2204,22,508,24,2,0,26,NA,NA,5,2021-02-04,0.00998185117967332,0.0100824931255729,2021-02-07T00:00:00Z,2021-01-31,2021-02-07
6 (Feb 07-Feb 13),3154,2272,57,826,53,1,0,54,NA,NA,6,2021-02-11,0.0250880281690141,0.0257336343115124,2021-02-14T00:00:00Z,2021-02-07,2021-02-14
7 (Feb 14-Feb 20),3464,2826,103,525,110,0,0,110,NA,NA,7,2021-02-18,0.0364472753007785,0.0378259272860815,2021-02-21T00:00:00Z,2021-02-14,2021-02-21
8 (Feb 21-Feb 27),3649,3351,242,436,193,5,10,208,NA,NA,8,2021-02-25,0.0722172485825127,0.0778385332904471,2021-02-28T00:00:00Z,2021-02-21,2021-02-28
9 (Feb 28-Mar 06),3929,3791,438,811,363,7,23,393,NA,NA,9,2021-03-04,0.115536797678713,0.130629287205488,2021-03-07T00:00:00Z,2021-02-28,2021-03-07
10 (Mar 07-Mar 13),3815,3810,627,1139,427,3,104,534,NA,NA,10,2021-03-11,0.164566929133858,0.19698397737983,2021-03-14T00:00:00Z,2021-03-07,2021-03-14
11 (Mar 14-Mar 20),4150,4102,1080,1651,765,6,246,1017,NA,NA,11,2021-03-18,0.263286201852755,0.357379219060225,2021-03-21T00:00:00Z,2021-03-14,2021-03-21
12 (Mar 21-Mar 27),5692,5249,2004,2062,726,1,456,1183,NA,NA,12,2021-03-25,0.381787007048962,0.617565485362095,2021-03-28T00:00:00Z,2021-03-21,2021-03-28
13 (Mar 28-Apr 03),6811,4915,2514,471,3,0,4,7,NA,"a Whole genome sequencing for week 13, Mar 28 to April 3, is still being completed so data is not final.",13,2021-04-01,0.511495422177009,1.04706372344856,2021-04-04T00:00:00Z,2021-03-28,2021-04-04
