GeoUID,GEO,age,Value,Total
10,Newfoundland and Labrador,0-4,19556,520553
10,Newfoundland and Labrador,12-17,31452,520553
10,Newfoundland and Labrador,18-29,67473,520553
10,Newfoundland and Labrador,30-39,58693,520553
10,Newfoundland and Labrador,40-49,65483,520553
10,Newfoundland and Labrador,5-11,33237,520553
10,Newfoundland and Labrador,50-59,82009,520553
10,Newfoundland and Labrador,60-69,82446,520553
10,Newfoundland and Labrador,70-79,56623,520553
10,Newfoundland and Labrador,80+,23581,520553
11,Prince Edward Island,0-4,7095,164318
11,Prince Edward Island,12-17,10977,164318
11,Prince Edward Island,18-29,28385,164318
11,Prince Edward Island,30-39,19183,164318
11,Prince Edward Island,40-49,19899,164318
11,Prince Edward Island,5-11,11792,164318
11,Prince Edward Island,50-59,22238,164318
11,Prince Edward Island,60-69,21923,164318
11,Prince Edward Island,70-79,15433,164318
11,Prince Edward Island,80+,7393,164318
1,Canada,0-4,1882571,38246108
1,Canada,12-17,2468487,38246108
1,Canada,18-29,5938174,38246108
1,Canada,30-39,5364435,38246108
1,Canada,40-49,4894137,38246108
1,Canada,5-11,2879112,38246108
1,Canada,50-59,5130515,38246108
1,Canada,60-69,4840878,38246108
1,Canada,70-79,3134079,38246108
1,Canada,80+,1713720,38246108
12,Nova Scotia,0-4,41451,992055
12,Nova Scotia,12-17,58119,992055
12,Nova Scotia,18-29,148522,992055
12,Nova Scotia,30-39,124396,992055
12,Nova Scotia,40-49,118355,992055
12,Nova Scotia,5-11,66251,992055
12,Nova Scotia,50-59,141897,992055
12,Nova Scotia,60-69,145576,992055
12,Nova Scotia,70-79,99128,992055
12,Nova Scotia,80+,48360,992055
13,New Brunswick,0-4,33048,789225
13,New Brunswick,12-17,48489,789225
13,New Brunswick,18-29,105394,789225
13,New Brunswick,30-39,92799,789225
13,New Brunswick,40-49,99464,789225
13,New Brunswick,5-11,54298,789225
13,New Brunswick,50-59,116038,789225
13,New Brunswick,60-69,119236,789225
13,New Brunswick,70-79,80740,789225
13,New Brunswick,80+,39719,789225
24,Quebec,0-4,421670,8604495
24,Quebec,12-17,529424,8604495
24,Quebec,18-29,1213604,8604495
24,Quebec,30-39,1127027,8604495
24,Quebec,40-49,1124776,8604495
24,Quebec,5-11,650354,8604495
24,Quebec,50-59,1159373,8604495
24,Quebec,60-69,1170511,8604495
24,Quebec,70-79,783582,8604495
24,Quebec,80+,424174,8604495
35,Ontario,0-4,712821,14826276
35,Ontario,12-17,961857,14826276
35,Ontario,18-29,2454802,14826276
35,Ontario,30-39,2077137,14826276
35,Ontario,40-49,1855340,14826276
35,Ontario,5-11,1075423,14826276
35,Ontario,50-59,2019276,14826276
35,Ontario,60-69,1813493,14826276
35,Ontario,70-79,1181151,14826276
35,Ontario,80+,674976,14826276
46,Manitoba,0-4,82260,1383765
46,Manitoba,12-17,101481,1383765
46,Manitoba,18-29,228304,1383765
46,Manitoba,30-39,195317,1383765
46,Manitoba,40-49,170811,1383765
46,Manitoba,5-11,125477,1383765
46,Manitoba,50-59,167717,1383765
46,Manitoba,60-69,157579,1383765
46,Manitoba,70-79,98850,1383765
46,Manitoba,80+,55969,1383765
47,Saskatchewan,0-4,72825,1179844
47,Saskatchewan,12-17,89350,1179844
47,Saskatchewan,18-29,178239,1179844
47,Saskatchewan,30-39,171720,1179844
47,Saskatchewan,40-49,146160,1179844
47,Saskatchewan,5-11,110123,1179844
47,Saskatchewan,50-59,139721,1179844
47,Saskatchewan,60-69,139508,1179844
47,Saskatchewan,70-79,81696,1179844
47,Saskatchewan,80+,50502,1179844
48,Alberta,0-4,258669,4442879
48,Alberta,12-17,322828,4442879
48,Alberta,18-29,680472,4442879
48,Alberta,30-39,714987,4442879
48,Alberta,40-49,619281,4442879
48,Alberta,5-11,392380,4442879
48,Alberta,50-59,546826,4442879
48,Alberta,60-69,489094,4442879
48,Alberta,70-79,274088,4442879
48,Alberta,80+,144254,4442879
59,British Columbia,0-4,224047,5214805
59,British Columbia,12-17,303934,5214805
59,British Columbia,18-29,811394,5214805
59,British Columbia,30-39,762718,5214805
59,British Columbia,40-49,657647,5214805
59,British Columbia,5-11,346009,5214805
59,British Columbia,50-59,718744,5214805
59,British Columbia,60-69,689368,5214805
59,British Columbia,70-79,457714,5214805
59,British Columbia,80+,243230,5214805
60,Yukon,0-4,2204,42986
60,Yukon,12-17,2616,42986
60,Yukon,18-29,6297,42986
60,Yukon,30-39,7284,42986
60,Yukon,40-49,6087,42986
60,Yukon,5-11,3579,42986
60,Yukon,50-59,5841,42986
60,Yukon,60-69,5681,42986
60,Yukon,70-79,2555,42986
60,Yukon,80+,842,42986
61,Northwest Territories,0-4,2850,45504
61,Northwest Territories,12-17,3519,45504
61,Northwest Territories,18-29,7807,45504
61,Northwest Territories,30-39,7179,45504
61,Northwest Territories,40-49,6317,45504
61,Northwest Territories,5-11,4290,45504
61,Northwest Territories,50-59,6622,45504
61,Northwest Territories,60-69,4620,45504
61,Northwest Territories,70-79,1792,45504
61,Northwest Territories,80+,508,45504
62,Nunavut,0-4,4075,39403
62,Nunavut,12-17,4441,39403
62,Nunavut,18-29,7481,39403
62,Nunavut,30-39,5995,39403
62,Nunavut,40-49,4517,39403
62,Nunavut,5-11,5899,39403
62,Nunavut,50-59,4213,39403
62,Nunavut,60-69,1843,39403
62,Nunavut,70-79,727,39403
62,Nunavut,80+,212,39403
